"Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet"
"AMC49","396",2019-11-29,2019-09-27,"9","1","Ab"
"AMC59","396",2019-12-13,2019-09-27,"11","1","Ab"
"AMC69","396",2019-12-27,2019-09-27,"13","1","Ab"
"AMC79","396",2020-01-10,2019-09-27,"15","1","Ab"
"AMC9","399",2019-10-04,2019-09-28,"1","3","No"
"AMC19","399",2019-10-18,2019-09-28,"3","3","No"
"AMC30","399",2019-11-01,2019-09-28,"5","3","No"
"AMC40","399",2019-11-15,2019-09-28,"7","3","No"
"AMC50","399",2019-11-29,2019-09-28,"9","3","No"
"AMC60","399",2019-12-13,2019-09-28,"11","3","No"
"AMC70","399",2019-12-27,2019-09-28,"13","3","No"
"AMC80","399",2020-01-10,2019-09-28,"15","3","No"
"AMC550","550N",NA,NA,NA,"NegativeControl",NA
"AMC551","551N",NA,NA,NA,"NegativeControl",NA
"AMC552","552P",NA,NA,NA,"PositiveControl",NA
